150,"Williams, Stephen",ARI,8,0.7,11,3,9,23,101,11.2,0,0,0,0,9,101,115,0,0,0,2010
151,"Zeigler, Dominique",SF,8,0.7,11,0,9,15,98,10.9,0,0,0,0,9,98,98,0,0,0,2010
152,"Logan, Stefan",DET,8,0.5,16,0,0,1,0,0,0,15,95,0,15,95,1905,1,0,1,2010
153,"Edelman, Julian",NE,8,0.5,15,3,7,14,86,12.3,0,2,14,0,9,100,421,1,0,0,2010
154,"King, Jeff",CAR,7,3.5,2,2,1,1,16,16,1,0,0,0,1,16,16,1,0,0,2010
155,"Arrington, Adrian",NO,7,7,1,0,7,9,79,11.3,0,0,0,0,7,79,79,0,0,0,2010
156,"Swain, Brett",GB,6,0.4,14,1,6,9,72,12,0,0,0,0,6,72,72,0,0,0,2010
157,"Gonzalez, Anthony",IND,6,3,2,0,5,9,67,13.4,0,0,0,0,5,67,67,0,0,0,2010
158,"Gilyard, Mardy",STL,5,0.5,11,2,6,16,63,10.5,0,0,0,0,6,63,419,0,0,1,2010
159,"Barden, Ramses",NYG,5,0.8,6,0,5,7,64,12.8,0,0,0,0,5,64,64,0,0,0,2010
160,"Hawkins, Lavelle",TEN,5,0.8,6,0,5,6,61,12.2,0,0,0,0,5,61,61,0,0,0,2010
161,"Price, Taylor",NE,4,2,2,0,3,4,41,13.7,0,0,0,0,3,41,41,0,0,0,2010
162,"Weems, Eric",ATL,4,0.3,16,4,6,6,61,10.2,0,0,0,0,6,61,1391,2,0,0,2010
163,"Jarrett, Dwayne",CAR,4,1.3,3,0,2,5,40,20,0,0,0,0,2,40,40,0,0,0,2010
164,"Austin, Terrence",WAS,4,0.8,5,0,3,5,47,15.7,0,0,0,0,3,47,62,0,0,0,2010
165,"Wilson, Kris",SD,3,3,1,1,1,1,37,37,0,0,0,0,1,37,37,0,0,0,2010
166,"Ogletree, Kevin",DAL,3,0.6,5,0,3,6,34,11.3,0,0,0,0,3,34,143,0,0,0,2010
167,"Wallace, Roberto",MIA,3,0.3,12,0,6,10,62,10.3,0,0,0,0,6,62,62,0,0,0,2010
168,"James, Brandon",IND,3,1,3,0,6,11,40,6.7,0,0,0,0,6,40,304,0,0,0,2010
169,"Bennett, Martellus",DAL,3,1.5,2,2,5,7,37,7.4,0,0,0,0,5,37,37,0,0,0,2010
170,"Miller, Nick",OAK,3,0.3,10,0,3,4,40,13.3,0,0,0,0,3,40,334,0,0,1,2010
171,"Parker, Preston",TB,3,0.3,9,0,4,9,42,10.5,0,1,7,0,5,49,227,0,0,0,2010
172,"Turner, Patrick",NYJ,2,0.4,5,0,2,2,26,13,0,0,0,0,2,26,26,0,0,0,2010
173,"James, William",SF,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
174,"Sperry, Kory",SD,2,2,1,1,2,2,21,10.5,0,0,0,0,2,21,21,0,0,0,2010
175,"Goodman, Richard",SD,2,0.7,3,0,1,2,25,25,0,0,0,0,1,25,25,0,0,1,2010
176,"Willis, Matthew",DEN,1,0.2,6,0,1,2,17,17,0,0,0,0,1,17,17,0,0,0,2010
177,"Clayton, Michael",NYG,1,0.2,6,0,2,4,19,9.5,0,0,0,0,2,19,19,0,0,0,2010
178,"Figurs, Yamon",OAK,1,0.5,2,0,2,2,17,8.5,0,1,-4,0,3,13,128,0,0,0,2010
179,"Banks, Brandon",WAS,1,0.1,13,0,2,5,10,5,0,2,6,0,4,16,1602,1,0,0,2010
180,"Baskett, Hank",PHI,1,0.1,8,0,1,4,18,18,0,0,0,0,1,18,18,0,0,0,2010
181,"Reed, David",BAL,1,0.1,14,0,0,1,0,0,0,1,15,0,1,15,631,1,0,0,2010
